,Beta_w,r_b,weight
151,1.299498217,1.726501957,0.000484182
152,1.852529183,1.352022666,0.000356765
153,1.323143733,1.710899117,0.000380769
154,1.371791404,1.417375484,0.000282822
155,9.725286828,1.497715483,0.001543962
156,1.587440241,1.371927469,0.000550476
157,1.450789385,1.567830328,0.000312733
158,1.311317306,1.663037324,0.000799222
159,1.642127599,1.374101917,0.000392844
160,1.497954867,1.60887717,0.000462005
161,1.528683214,1.489879079,0.000368166
162,1.376901932,1.651553909,0.000309213
163,1.391726394,1.544370381,0.00027929
164,9.120805099,1.457416338,0.001040631
165,1.287279377,1.769873327,0.000694863
166,1.437677417,1.770397989,0.000395149
167,1.688693047,1.493011769,0.000455738
168,1.408757599,1.655900081,0.000315634
169,1.430205517,1.529471596,0.000638988
170,1.701116808,1.468796583,0.000386702
171,1.357748392,1.571850804,0.000346764
172,1.365554537,1.543428532,0.00050384
173,1.917677228,1.475099656,0.00032654
174,1.484739797,1.45092718,0.000480583
175,1.405531705,1.585415257,0.000699641
176,1.508927563,1.700169023,0.000612726
177,1.427884561,1.385063149,0.000406182
178,1.492360868,1.643658136,0.000529323
179,2.016735166,1.511497185,0.000316935
180,1.369696413,1.555224322,0.001251809
181,1.498190071,1.578641547,0.000478218
182,1.543266801,1.504126168,0.000362225
183,6.675205513,1.381224946,0.000721976
184,1.350827415,1.734568823,0.000715538
185,8.112230707,1.722918256,0.000984424
186,1.326606405,2.073450499,0.001370561
187,1.585213874,1.471738049,0.000372056
188,1.465628772,1.463512008,0.000294677
189,1.55891541,1.421783252,0.000657599
190,1.78359906,1.429742445,0.000744532
191,1.469972854,1.457563319,0.000384778
192,1.428509648,1.38577507,0.000463095
193,1.486236671,1.429414763,0.000285787
194,1.278028252,1.716362819,0.002294601
195,7.542807135,1.442052955,0.000744662
196,1.644770034,1.51132456,0.000291166
197,1.429409401,1.474880979,0.000262982
198,1.507004522,1.410769508,0.000479103
199,2.338344416,1.306544216,0.000443137
200,9.294329561,1.381099348,0.001383224
201,1.383945453,1.591062392,0.000348994
202,1.511132854,1.566160689,0.000302718
203,7.446626422,1.354166968,0.000758388
204,1.679558188,1.385359315,0.000345293
205,1.524648744,1.514657642,0.000299122
206,2.005728238,1.335120119,0.001009067
207,1.336459507,1.629250986,0.000499608
208,1.880052555,1.255816073,0.000503397
209,1.525674088,1.369223329,0.000685137
210,1.330886419,1.865232298,0.000441462
211,1.466189062,1.648671127,0.000498678
212,8.315420669,1.326315421,0.00092526
213,1.509745698,1.571940569,0.000727652
214,1.362615459,1.545369162,0.000309086
215,7.827260596,1.493289689,0.001363916
216,1.655236866,1.420328413,0.001222411
217,7.31196232,1.333330181,0.000784619
218,2.196664402,1.334568736,0.000490541
219,8.672474864,1.285096926,0.00168464
220,1.390615761,1.708732338,0.000351012
221,1.422979135,1.718307333,0.000443132
222,8.52873128,1.400652064,0.000694333
223,7.707502498,1.464211892,0.000608705
224,1.218176021,2.160838995,0.001664304
225,1.397258618,1.579425307,0.000421465
226,2.17852441,1.338360107,0.001782411
227,1.819274701,1.384458848,0.000685209
228,8.322544455,1.416249361,0.001869585
229,1.363594978,1.550353009,0.000370133
230,1.454665408,1.621585475,0.000425771
231,1.404782813,1.711351002,0.000427687
232,1.468209545,1.386785391,0.000469517
233,6.883896172,1.409131916,0.000494098
234,1.400322392,1.728556174,0.000485404
235,1.446965878,1.49126413,0.000404338
236,1.388699022,1.941158706,0.000904205
237,1.708890837,1.444884045,0.000510841
238,1.340911641,1.505399804,0.000615525
239,1.327975689,1.790156136,0.001039798
240,4.827865739,1.479465573,0.000809617
241,1.395929489,1.476372737,0.000284458
242,1.581181561,1.531996186,0.000345511
243,1.364124498,1.757431873,0.000441758
244,1.699177935,1.42364473,0.000320409
245,1.31156456,1.750715629,0.002021866
246,7.744195206,1.437993613,0.000797819
247,1.299058265,1.790930004,0.00084621
248,1.317889275,1.76166015,0.000478144
249,1.350582653,1.46301071,0.000331284
250,1.523576084,1.4052964,0.000312753
251,1.43987063,1.59185354,0.000349544
252,1.445062537,1.506704123,0.00026695
253,1.415300593,1.607121107,0.000842053
254,1.519871639,1.704487905,0.000349744
255,1.389429886,1.712745845,0.000623301
256,5.52711632,1.395110278,0.000845417
257,1.44317047,1.562169627,0.000272499
258,1.464763452,1.587485758,0.000275735
